timestamp, index, power.draw [W], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], memory.used [MiB]
2026/09/19 23:35:23.594, 0, 291.78, 99, 55, 2820, 49899
2026/09/19 23:35:23.594, 1, 296.52, 99, 56, 2782, 48857
2026/09/19 23:35:24.594, 0, 301.89, 9, 51, 2767, 49899
2026/09/19 23:35:24.594, 1, 289.27, 91, 57, 2842, 48857
2026/09/19 23:35:25.594, 0, 332.58, 80, 56, 2730, 49899
2026/09/19 23:35:25.595, 1, 290.04, 73, 56, 2805, 49881
2026/09/19 23:35:26.595, 0, 302.48, 92, 56, 2767, 49899
2026/09/19 23:35:26.595, 1, 303.22, 13, 54, 2775, 49881
2026/09/19 23:35:27.595, 0, 291.00, 92, 56, 2812, 50923
2026/09/19 23:35:27.595, 1, 290.46, 99, 58, 2797, 49881
2026/09/19 23:35:28.595, 0, 315.81, 0, 53, 2745, 50923
2026/09/19 23:35:28.595, 1, 287.58, 99, 57, 2835, 49881
2026/09/19 23:35:29.596, 0, 321.50, 99, 57, 2745, 50923
2026/09/19 23:35:29.596, 1, 282.51, 9, 53, 2790, 49881
2026/09/19 23:35:30.596, 0, 301.28, 99, 57, 2805, 50923
2026/09/19 23:35:30.596, 1, 321.57, 80, 58, 2782, 50905
2026/09/19 23:35:31.596, 0, 293.45, 30, 54, 2767, 50923
2026/09/19 23:35:31.596, 1, 286.25, 91, 58, 2827, 50905
2026/09/19 23:35:32.596, 0, 188.38, 10, 52, 2842, 52971
2026/09/19 23:35:32.597, 1, 231.53, 7, 53, 2857, 51929
2026/09/19 23:35:33.597, 0, 235.52, 66, 54, 2850, 55027
2026/09/19 23:35:33.597, 1, 224.27, 1, 53, 2797, 53985
2026/09/19 23:35:34.597, 0, 191.11, 1, 52, 2850, 56059
2026/09/19 23:35:34.597, 1, 184.90, 30, 54, 2857, 55017
2026/09/19 23:35:35.597, 0, 292.56, 99, 58, 2737, 56059
2026/09/19 23:35:35.597, 1, 202.40, 92, 58, 2835, 55017
2026/09/19 23:35:36.597, 0, 312.98, 62, 56, 2805, 56059
2026/09/19 23:35:36.598, 1, 332.27, 60, 56, 2790, 56041
2026/09/19 23:35:37.598, 0, 270.70, 73, 56, 2805, 56059
2026/09/19 23:35:37.598, 1, 219.01, 54, 56, 2842, 56041
2026/09/19 23:35:38.598, 0, 285.71, 70, 57, 2812, 57083
2026/09/19 23:35:38.598, 1, 263.65, 3, 54, 2790, 56041
2026/09/19 23:35:39.598, 0, 309.66, 99, 58, 2790, 57083
2026/09/19 23:35:39.598, 1, 261.35, 51, 55, 2812, 57065
2026/09/19 23:35:40.599, 0, 307.77, 99, 59, 2752, 57083
2026/09/19 23:35:40.599, 1, 274.52, 69, 58, 2857, 57065
2026/09/19 23:35:41.599, 0, 292.55, 92, 58, 2745, 58107
2026/09/19 23:35:41.599, 1, 287.78, 99, 58, 2842, 57065
2026/09/19 23:35:42.599, 0, 349.69, 68, 57, 2752, 59131
2026/09/19 23:35:42.599, 1, 350.50, 44, 57, 2775, 58089
2026/09/19 23:35:43.599, 0, 287.81, 92, 59, 2790, 59131
2026/09/19 23:35:43.600, 1, 266.60, 67, 58, 2857, 58089
2026/09/19 23:35:44.600, 0, 357.93, 65, 58, 2752, 59131
2026/09/19 23:35:44.600, 1, 346.43, 92, 60, 2775, 58089
2026/09/19 23:35:45.600, 0, 272.46, 61, 58, 2805, 59131
2026/09/19 23:35:45.600, 1, 242.94, 67, 57, 2850, 58089
2026/09/19 23:35:46.600, 0, 298.47, 3, 55, 2752, 59131
2026/09/19 23:35:46.600, 1, 250.38, 98, 59, 2842, 58089
2026/09/19 23:35:47.600, 0, 261.13, 55, 56, 2812, 59131
2026/09/19 23:35:47.601, 1, 302.21, 99, 60, 2797, 58089
2026/09/19 23:35:48.601, 0, 286.64, 69, 58, 2820, 59131
2026/09/19 23:35:48.601, 1, 281.54, 14, 57, 2775, 59113
2026/09/19 23:35:49.601, 0, 297.36, 96, 59, 2805, 60155
2026/09/19 23:35:49.601, 1, 258.96, 16, 55, 2797, 59113
2026/09/19 23:35:50.601, 0, 364.83, 48, 58, 2730, 60155
2026/09/19 23:35:50.601, 1, 318.82, 99, 61, 2782, 59113
2026/09/19 23:35:51.602, 0, 290.51, 69, 59, 2820, 60155
2026/09/19 23:35:51.602, 1, 315.84, 33, 58, 2820, 59113
2026/09/19 23:35:52.602, 0, 364.02, 92, 61, 2737, 60155
2026/09/19 23:35:52.602, 1, 293.40, 99, 61, 2790, 59113
2026/09/19 23:35:53.602, 0, 303.42, 79, 59, 2797, 60155
2026/09/19 23:35:53.602, 1, 303.27, 89, 59, 2835, 59113
2026/09/19 23:35:54.602, 0, 313.29, 65, 60, 2730, 60155
2026/09/19 23:35:54.603, 1, 240.28, 86, 60, 2850, 59113
2026/09/19 23:35:55.603, 0, 275.74, 5, 56, 2760, 60155
2026/09/19 23:35:55.603, 1, 300.29, 92, 60, 2827, 59113
2026/09/19 23:35:56.603, 0, 294.12, 69, 59, 2820, 60155
2026/09/19 23:35:56.603, 1, 306.24, 64, 60, 2782, 59113
2026/09/19 23:35:57.603, 0, 302.52, 73, 60, 2805, 60155
2026/09/19 23:35:57.603, 1, 263.29, 3, 57, 2790, 59113
2026/09/19 23:35:58.603, 0, 368.67, 77, 62, 2730, 60155
2026/09/19 23:35:58.604, 1, 331.49, 92, 62, 2775, 59113
2026/09/19 23:35:59.604, 0, 298.75, 83, 60, 2820, 60155
2026/09/19 23:35:59.604, 1, 326.78, 67, 62, 2827, 59113
2026/09/19 23:36:00.604, 0, 367.70, 92, 62, 2737, 60155
2026/09/19 23:36:00.604, 1, 299.13, 99, 62, 2790, 60137
2026/09/19 23:36:01.604, 0, 288.33, 82, 59, 2805, 60155
2026/09/19 23:36:01.604, 1, 291.14, 67, 59, 2842, 60137
2026/09/19 23:36:02.604, 0, 303.21, 92, 61, 2767, 60155
2026/09/19 23:36:02.605, 1, 224.41, 79, 59, 2850, 60137
2026/09/19 23:36:03.605, 0, 313.20, 99, 61, 2730, 60155
2026/09/19 23:36:03.605, 1, 282.77, 76, 61, 2850, 60137
2026/09/19 23:36:04.605, 0, 286.51, 4, 57, 2752, 60155
2026/09/19 23:36:04.605, 1, 304.61, 92, 63, 2835, 60137
2026/09/19 23:36:05.605, 0, 287.67, 86, 59, 2820, 60155
2026/09/19 23:36:05.605, 1, 302.21, 99, 63, 2790, 60137
2026/09/19 23:36:06.605, 0, 355.71, 99, 62, 2730, 61179
2026/09/19 23:36:06.606, 1, 292.11, 92, 63, 2790, 60137
2026/09/19 23:36:07.606, 0, 318.07, 3, 57, 2752, 61179
2026/09/19 23:36:07.606, 1, 335.05, 70, 61, 2790, 60137
2026/09/19 23:36:08.606, 0, 322.87, 92, 63, 2737, 61179
2026/09/19 23:36:08.606, 1, 291.67, 99, 63, 2820, 60137
2026/09/19 23:36:09.606, 0, 335.12, 87, 61, 2797, 61179
2026/09/19 23:36:09.606, 1, 340.63, 82, 61, 2812, 60137
2026/09/19 23:36:10.607, 0, 336.79, 99, 62, 2737, 61179
2026/09/19 23:36:10.607, 1, 256.46, 73, 61, 2842, 60137
2026/09/19 23:36:11.607, 0, 282.57, 3, 57, 2752, 61179
2026/09/19 23:36:11.607, 1, 304.41, 92, 64, 2835, 60137
2026/09/19 23:36:12.607, 0, 288.16, 84, 59, 2820, 61179
2026/09/19 23:36:12.607, 1, 307.66, 99, 64, 2790, 60137
2026/09/19 23:36:13.607, 0, 297.49, 59, 60, 2812, 61179
2026/09/19 23:36:13.607, 1, 273.07, 3, 59, 2767, 60137
2026/09/19 23:36:14.608, 0, 370.32, 99, 62, 2737, 61179
2026/09/19 23:36:14.608, 1, 301.30, 92, 63, 2775, 60137
2026/09/19 23:36:15.608, 0, 288.51, 82, 59, 2812, 61179
2026/09/19 23:36:15.608, 1, 335.21, 99, 63, 2835, 60137
2026/09/19 23:36:16.608, 0, 355.29, 99, 63, 2730, 61179
2026/09/19 23:36:16.608, 1, 297.84, 92, 64, 2782, 60137
2026/09/19 23:36:17.608, 0, 308.49, 82, 60, 2805, 61179
2026/09/19 23:36:17.608, 1, 326.01, 87, 62, 2842, 60137
2026/09/19 23:36:18.608, 0, 303.38, 92, 61, 2767, 61179
2026/09/19 23:36:18.609, 1, 223.97, 79, 61, 2850, 60137
2026/09/19 23:36:19.609, 0, 320.11, 99, 62, 2730, 61179
2026/09/19 23:36:19.609, 1, 282.40, 72, 62, 2850, 61161
2026/09/19 23:36:20.609, 0, 290.74, 5, 58, 2752, 61179
2026/09/19 23:36:20.609, 1, 302.42, 99, 63, 2835, 61161
2026/09/19 23:36:21.609, 0, 280.64, 61, 58, 2805, 61179
2026/09/19 23:36:21.610, 1, 309.96, 99, 64, 2790, 61161
2026/09/19 23:36:22.610, 0, 361.29, 99, 62, 2737, 61179
2026/09/19 23:36:22.610, 1, 283.98, 92, 62, 2797, 61161
2026/09/19 23:36:23.610, 0, 329.32, 3, 58, 2752, 62203
2026/09/19 23:36:23.610, 1, 340.88, 78, 62, 2790, 61161
2026/09/19 23:36:24.610, 0, 314.58, 92, 62, 2730, 62203
2026/09/19 23:36:24.610, 1, 287.91, 99, 64, 2820, 61161
2026/09/19 23:36:25.610, 0, 322.20, 83, 60, 2805, 62203
2026/09/19 23:36:25.611, 1, 338.38, 88, 62, 2797, 61161
2026/09/19 23:36:26.611, 0, 281.36, 63, 60, 2805, 62203
2026/09/19 23:36:26.611, 1, 225.98, 79, 61, 2850, 61161
2026/09/19 23:36:27.611, 0, 312.63, 99, 62, 2790, 62203
2026/09/19 23:36:27.611, 1, 259.58, 45, 60, 2812, 61161
2026/09/19 23:36:28.611, 0, 320.65, 99, 62, 2752, 62203
2026/09/19 23:36:28.611, 1, 289.13, 69, 62, 2857, 61161
2026/09/19 23:36:29.611, 0, 305.75, 16, 59, 2737, 62203
2026/09/19 23:36:29.612, 1, 303.52, 99, 63, 2842, 61161
2026/09/19 23:36:30.612, 0, 305.14, 99, 62, 2730, 62203
2026/09/19 23:36:30.612, 1, 295.61, 92, 64, 2835, 61161
2026/09/19 23:36:31.612, 0, 349.21, 80, 63, 2790, 62203
2026/09/19 23:36:31.612, 1, 358.48, 99, 64, 2782, 61161
2026/09/19 23:36:32.612, 0, 299.51, 99, 62, 2767, 62203
