tick,wall_layer_loop_s,driver_request_to_reply_s,boots,eval_ms,boot_ms,norm_boot_ms,timer_sum_ms_NOT_A_WALL_CLOCK,recorder_ms,enc_pt_ms,pt_cache_calls,pt_cache_misses,gpu0_pool_used_gb,gpu0_pool_reserved_gb,gpu0_device_used_gb,gpu1_pool_used_gb,gpu1_pool_reserved_gb,gpu1_device_used_gb,lanes,generating_lanes,raw_top1_agree,pick_agree,relerr_rms_median,relerr_rms_p90,relerr_rms_max,bootstraps_recorded,max_overflow_in_tick,bootstraps_over_512_in_tick
80,175.387,188.0,529,118796,83560,44917,202357,3237,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002115,0.006041,0.014156,481,495,0
81,175.405,188.0,529,118796,83636,44963,202433,3253,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.001996,0.004753,0.008952,481,486,0
82,175.692,188.0,529,119078,83573,44966,202652,3238,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.00247,0.005535,0.012675,481,498,0
83,175.524,188.0,529,118963,83524,44932,202488,3201,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,63,0.0019424999999999998,0.005724,0.00683,481,482,0
84,174.885,188.0,529,118388,83430,44887,201819,3106,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.001548,0.00434,0.007544,481,480,0
85,175.594,188.0,529,119034,83515,44902,202550,3183,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,63,0.0016315000000000001,0.006581,0.012881,481,524,1
86,174.86,188.0,529,118397,83405,44841,201804,3097,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0018335,0.005818,0.012233,481,511,0
87,175.724,188.0,529,119172,83558,44897,202730,3236,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0016975,0.00504,0.012799,481,500,0
88,175.41,188.0,529,118803,83638,44960,202442,3300,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0020525,0.00692,0.01758,481,511,0
89,175.493,188.0,529,118860,83630,44948,202491,3302,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0024155,0.006208,0.026662,481,475,0
90,175.942,188.0,529,119378,83566,44883,202945,3241,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002084,0.005654,0.01156,481,470,0
91,175.056,188.0,529,118570,83356,44839,201927,3141,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.001918,0.005629,0.012131,481,528,1
92,174.803,188.0,529,118358,83359,44889,201718,3095,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.001722,0.00486,0.007854,481,473,0
93,176.032,188.0,529,119415,83714,44978,203129,3283,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,63,0.002386,0.004847,0.009352,481,467,0
94,176.006,188.0,529,119411,83594,44891,203006,3270,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0019795000000000004,0.005289,0.012891,481,477,0
95,175.757,188.0,529,119195,83579,44950,202775,3268,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,63,0.002268,0.005377,0.007795,481,477,0
96,175.239,188.0,529,118707,83550,44937,202258,3190,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.0024015,0.006674,0.017221,481,500,0
97,175.288,188.0,529,118809,83471,44846,202281,3129,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0021145,0.006277,0.011193,481,500,0
98,175.488,188.0,529,119006,83591,44946,202599,3163,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.001978,0.005325,0.008608,481,491,0
99,174.91,188.0,529,118450,83455,44834,201905,3098,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0022595000000000002,0.005766,0.025148,481,511,0
100,175.826,188.0,529,119278,83515,44926,202795,3234,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0020785,0.005807,0.008756,481,470,0
101,176.046,188.0,529,119469,83603,44912,203073,3232,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0022575,0.006631,0.015476,481,466,0
102,175.043,188.0,529,118485,83523,44935,202009,3232,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0023755,0.005967,0.009969,481,494,0
103,174.92,188.0,529,118439,83437,44876,201877,3094,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0022825,0.004989,0.011072,481,498,0
104,175.674,188.0,529,119135,83640,44936,202777,3199,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0019655000000000002,0.005559,0.011714,481,552,1
105,175.487,188.0,529,118942,83608,44950,202551,3246,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002352,0.004755,0.011046,481,478,0
106,176.08,188.0,529,119457,83781,44979,203238,3322,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0025535,0.004697,0.011989,481,498,0
107,175.783,188.0,529,119181,83664,44913,202846,3291,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.002082,0.005031,0.013746,481,521,1
108,175.215,188.0,529,118699,83548,44916,202248,3209,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0021910000000000002,0.00533,0.012251,481,476,0
109,175.401,188.0,529,118870,83545,44933,202416,3210,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0026604999999999997,0.005509,0.010215,481,459,0
110,174.748,188.0,529,118275,83418,44855,201694,3108,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0020215,0.006327,0.019197,481,498,0
111,175.457,188.0,529,118902,83531,44887,202434,3201,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002688,0.005336,0.010918,481,505,0
112,176.097,188.0,529,119544,83625,44960,203170,3245,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002085,0.004403,0.007078,481,502,0
113,175.539,188.0,529,118999,83512,44933,202511,3180,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.0023,0.005476,0.011626,481,481,0
