utc,pid,serve_dir,served,vmrss_kb,vmhwm_kb,rssanon_kb,mappings,gpu0_used_mib,gpu1_used_mib
17:16:01Z,204307,/root/demo/s37/serve_LONG/serve,35,179871788,179871788,179403604,1252,76539,75497
17:17:01Z,204307,/root/demo/s37/serve_LONG/serve,35,179871788,179871788,179403604,1252,76539,75497
17:18:02Z,204307,/root/demo/s37/serve_LONG/serve,35,179871788,179871788,179403604,1252,76539,75497
17:19:02Z,204307,/root/demo/s37/serve_LONG/serve,36,179871788,179871788,179403604,1252,76539,75497
17:20:02Z,204307,/root/demo/s37/serve_LONG/serve,36,179871788,179871788,179403604,1252,76539,75497
17:21:02Z,204307,/root/demo/s37/serve_LONG/serve,36,179871788,179871788,179403604,1252,76539,75497
17:22:02Z,204307,/root/demo/s37/serve_LONG/serve,37,179871788,179871788,179403604,1252,76539,75497
17:23:02Z,204307,/root/demo/s37/serve_LONG/serve,37,179871788,179871788,179403604,1252,76539,75497
17:24:02Z,204307,/root/demo/s37/serve_LONG/serve,37,179871788,179871788,179403604,1252,76539,75497
17:25:02Z,204307,/root/demo/s37/serve_LONG/serve,38,179871788,179871788,179403604,1252,76539,75497
17:26:02Z,204307,/root/demo/s37/serve_LONG/serve,38,179871788,179871788,179403604,1252,76539,75497
17:27:02Z,204307,/root/demo/s37/serve_LONG/serve,38,179871788,179871788,179403604,1252,76539,75497
17:28:02Z,204307,/root/demo/s37/serve_LONG/serve,39,179871788,179871788,179403604,1252,76539,75497
17:29:02Z,204307,/root/demo/s37/serve_LONG/serve,39,179871788,179871788,179403604,1252,76539,75497
17:30:02Z,204307,/root/demo/s37/serve_LONG/serve,39,179871788,179871788,179403604,1252,76539,75497
17:31:02Z,204307,/root/demo/s37/serve_LONG/serve,39,179871788,179871788,179403604,1252,76539,75497
17:32:02Z,204307,/root/demo/s37/serve_LONG/serve,40,179871788,179871788,179403604,1252,76539,75497
17:33:02Z,204307,/root/demo/s37/serve_LONG/serve,40,179871788,179871788,179403604,1252,76539,75497
17:34:02Z,204307,/root/demo/s37/serve_LONG/serve,40,179871788,179871788,179403604,1252,76539,75497
17:35:02Z,204307,/root/demo/s37/serve_LONG/serve,41,179871788,179871788,179403604,1252,76539,75497
17:36:03Z,204307,/root/demo/s37/serve_LONG/serve,41,179871788,179871788,179403604,1252,76539,75497
17:37:03Z,204307,/root/demo/s37/serve_LONG/serve,41,179871788,179871788,179403604,1252,76539,75497
17:38:03Z,204307,/root/demo/s37/serve_LONG/serve,42,179871788,179871788,179403604,1252,76539,75497
17:39:03Z,204307,/root/demo/s37/serve_LONG/serve,42,179871788,179871788,179403604,1252,76539,75497
17:40:03Z,204307,/root/demo/s37/serve_LONG/serve,42,179871788,179871788,179403604,1252,76539,75497
17:41:03Z,204307,/root/demo/s37/serve_LONG/serve,43,179871788,179871788,179403604,1252,76539,75497
17:42:03Z,204307,/root/demo/s37/serve_LONG/serve,43,179871788,179871788,179403604,1252,76539,75497
17:43:03Z,204307,/root/demo/s37/serve_LONG/serve,43,179871788,179871788,179403604,1252,76539,75497
17:44:03Z,204307,/root/demo/s37/serve_LONG/serve,43,179871788,179871788,179403604,1252,76539,75497
17:45:03Z,204307,/root/demo/s37/serve_LONG/serve,44,179871788,179871788,179403604,1252,76539,75497
17:46:03Z,204307,/root/demo/s37/serve_LONG/serve,44,179871788,179871788,179403604,1252,76539,75497
17:47:03Z,204307,/root/demo/s37/serve_LONG/serve,44,179871788,179871788,179403604,1252,76539,75497
17:48:03Z,204307,/root/demo/s37/serve_LONG/serve,45,179871788,179871788,179403604,1252,76539,75497
